Original Name,User-Friendly Name,Table
timestep,Timestep,simulation_data
date,Date,simulation_data
run,Run,simulation_data
te_total_supply,Te Total Supply,simulation_data
te_circulating_supply,Te Circulating Supply,simulation_data
te_unvested_supply,Te Unvested Supply,simulation_data
te_holding_supply,Te Holding Supply,simulation_data
te_MC,Te Mc,simulation_data
te_FDV_MC,Te Fdv Mc,simulation_data
te_selling_perc,Te Selling Perc,simulation_data
te_utility_perc,Te Utility Perc,simulation_data
te_holding_perc,Te Holding Perc,simulation_data
te_remove_perc,Te Remove Perc,simulation_data
te_selling_allocation,Te Selling Allocation,simulation_data
te_utility_allocation,Te Utility Allocation,simulation_data
te_holding_allocation,Te Holding Allocation,simulation_data
te_selling_allocation_cum,Te Selling Allocation Cum,simulation_data
te_utility_allocation_cum,Te Utility Allocation Cum,simulation_data
te_holding_allocation_cum,Te Holding Allocation Cum,simulation_data
te_tokens_vested_cum,Te Tokens Vested Cum,simulation_data
te_tokens_burned,Te Tokens Burned,simulation_data
te_tokens_burned_cum,Te Tokens Burned Cum,simulation_data
te_tokens_burned_usd,Te Tokens Burned Usd,simulation_data
te_minted_tokens,Te Minted Tokens,simulation_data
te_minted_tokens_cum,Te Minted Tokens Cum,simulation_data
te_minted_tokens_usd,Te Minted Tokens Usd,simulation_data
te_incentivised_tokens,Te Incentivised Tokens,simulation_data
te_incentivised_tokens_usd,Te Incentivised Tokens Usd,simulation_data
te_incentivised_tokens_cum,Te Incentivised Tokens Cum,simulation_data
te_airdrop_tokens,Te Airdrop Tokens,simulation_data
te_airdrop_tokens_usd,Te Airdrop Tokens Usd,simulation_data
te_airdrop_tokens_cum,Te Airdrop Tokens Cum,simulation_data
lp_tokens,Lp Tokens,simulation_data
lp_usdc,Lp Usdc,simulation_data
lp_constant_product,Lp Constant Product,simulation_data
lp_token_price,Lp Token Price,simulation_data
lp_valuation,Lp Valuation,simulation_data
lp_volatility,Lp Volatility,simulation_data
lp_token_price_max,Lp Token Price Max,simulation_data
lp_token_price_min,Lp Token Price Min,simulation_data
lp_tokens_after_adoption,Lp Tokens After Adoption,simulation_data
lp_tokens_after_liquidity_addition,Lp Tokens After Liquidity Addition,simulation_data
lp_tokens_after_buyback,Lp Tokens After Buyback,simulation_data
angle_agents,Angle Agents,simulation_data
angle_a_name,Angle A Name,simulation_data
angle_a_type,Angle A Type,simulation_data
angle_a_usd_funds,Angle A Usd Funds,simulation_data
angle_a_tokens,Angle A Tokens,simulation_data
angle_a_tokens_vested,Angle A Tokens Vested,simulation_data
angle_a_tokens_vested_cum,Angle A Tokens Vested Cum,simulation_data
angle_a_tokens_airdropped,Angle A Tokens Airdropped,simulation_data
angle_a_tokens_airdropped_cum,Angle A Tokens Airdropped Cum,simulation_data
angle_a_tokens_incentivised,Angle A Tokens Incentivised,simulation_data
angle_a_tokens_incentivised_cum,Angle A Tokens Incentivised Cum,simulation_data
angle_a_tokens_apr_locked,Angle A Tokens Apr Locked,simulation_data
angle_a_tokens_apr_locked_cum,Angle A Tokens Apr Locked Cum,simulation_data
angle_a_tokens_apr_locked_remove,Angle A Tokens Apr Locked Remove,simulation_data
angle_a_tokens_apr_locked_rewards,Angle A Tokens Apr Locked Rewards,simulation_data
angle_a_tokens_buyback_locked,Angle A Tokens Buyback Locked,simulation_data
angle_a_tokens_buyback_locked_cum,Angle A Tokens Buyback Locked Cum,simulation_data
angle_a_tokens_buyback_locked_remove,Angle A Tokens Buyback Locked Remove,simulation_data
angle_a_tokens_buyback_locked_rewards,Angle A Tokens Buyback Locked Rewards,simulation_data
angle_a_tokens_staking_vesting_locked,Angle A Tokens Staking Vesting Locked,simulation_data
angle_a_tokens_staking_vesting_locked_cum,Angle A Tokens Staking Vesting Locked Cum,simulation_data
angle_a_tokens_staking_vesting_locked_remove,Angle A Tokens Staking Vesting Locked Remove,simulation_data
angle_a_tokens_staking_vesting_locked_rewards,Angle A Tokens Staking Vesting Locked Rewards,simulation_data
angle_a_tokens_liquidity_mining,Angle A Tokens Liquidity Mining,simulation_data
angle_a_tokens_liquidity_mining_cum,Angle A Tokens Liquidity Mining Cum,simulation_data
angle_a_tokens_liquidity_mining_remove,Angle A Tokens Liquidity Mining Remove,simulation_data
angle_a_tokens_liquidity_mining_rewards,Angle A Tokens Liquidity Mining Rewards,simulation_data
angle_a_tokens_transferred,Angle A Tokens Transferred,simulation_data
angle_a_tokens_transferred_cum,Angle A Tokens Transferred Cum,simulation_data
angle_a_tokens_burned,Angle A Tokens Burned,simulation_data
angle_a_tokens_burned_cum,Angle A Tokens Burned Cum,simulation_data
angle_a_selling_tokens,Angle A Selling Tokens,simulation_data
angle_a_utility_tokens,Angle A Utility Tokens,simulation_data
angle_a_holding_tokens,Angle A Holding Tokens,simulation_data
angle_a_selling_from_holding_tokens,Angle A Selling From Holding Tokens,simulation_data
angle_a_utility_from_holding_tokens,Angle A Utility From Holding Tokens,simulation_data
angle_a_holding_from_holding_tokens,Angle A Holding From Holding Tokens,simulation_data
angle_a_actions,Angle A Actions,simulation_data
angle_a_current_action,Angle A Current Action,simulation_data
seed_agents,Seed Agents,simulation_data
seed_a_name,Seed A Name,simulation_data
seed_a_type,Seed A Type,simulation_data
seed_a_usd_funds,Seed A Usd Funds,simulation_data
seed_a_tokens,Seed A Tokens,simulation_data
seed_a_tokens_vested,Seed A Tokens Vested,simulation_data
seed_a_tokens_vested_cum,Seed A Tokens Vested Cum,simulation_data
seed_a_tokens_airdropped,Seed A Tokens Airdropped,simulation_data
seed_a_tokens_airdropped_cum,Seed A Tokens Airdropped Cum,simulation_data
seed_a_tokens_incentivised,Seed A Tokens Incentivised,simulation_data
seed_a_tokens_incentivised_cum,Seed A Tokens Incentivised Cum,simulation_data
seed_a_tokens_apr_locked,Seed A Tokens Apr Locked,simulation_data
seed_a_tokens_apr_locked_cum,Seed A Tokens Apr Locked Cum,simulation_data
seed_a_tokens_apr_locked_remove,Seed A Tokens Apr Locked Remove,simulation_data
seed_a_tokens_apr_locked_rewards,Seed A Tokens Apr Locked Rewards,simulation_data
seed_a_tokens_buyback_locked,Seed A Tokens Buyback Locked,simulation_data
seed_a_tokens_buyback_locked_cum,Seed A Tokens Buyback Locked Cum,simulation_data
seed_a_tokens_buyback_locked_remove,Seed A Tokens Buyback Locked Remove,simulation_data
seed_a_tokens_buyback_locked_rewards,Seed A Tokens Buyback Locked Rewards,simulation_data
seed_a_tokens_staking_vesting_locked,Seed A Tokens Staking Vesting Locked,simulation_data
seed_a_tokens_staking_vesting_locked_cum,Seed A Tokens Staking Vesting Locked Cum,simulation_data
seed_a_tokens_staking_vesting_locked_remove,Seed A Tokens Staking Vesting Locked Remove,simulation_data
seed_a_tokens_staking_vesting_locked_rewards,Seed A Tokens Staking Vesting Locked Rewards,simulation_data
seed_a_tokens_liquidity_mining,Seed A Tokens Liquidity Mining,simulation_data
seed_a_tokens_liquidity_mining_cum,Seed A Tokens Liquidity Mining Cum,simulation_data
seed_a_tokens_liquidity_mining_remove,Seed A Tokens Liquidity Mining Remove,simulation_data
seed_a_tokens_liquidity_mining_rewards,Seed A Tokens Liquidity Mining Rewards,simulation_data
seed_a_tokens_transferred,Seed A Tokens Transferred,simulation_data
seed_a_tokens_transferred_cum,Seed A Tokens Transferred Cum,simulation_data
seed_a_tokens_burned,Seed A Tokens Burned,simulation_data
seed_a_tokens_burned_cum,Seed A Tokens Burned Cum,simulation_data
seed_a_selling_tokens,Seed A Selling Tokens,simulation_data
seed_a_utility_tokens,Seed A Utility Tokens,simulation_data
seed_a_holding_tokens,Seed A Holding Tokens,simulation_data
seed_a_selling_from_holding_tokens,Seed A Selling From Holding Tokens,simulation_data
seed_a_utility_from_holding_tokens,Seed A Utility From Holding Tokens,simulation_data
seed_a_holding_from_holding_tokens,Seed A Holding From Holding Tokens,simulation_data
seed_a_actions,Seed A Actions,simulation_data
seed_a_current_action,Seed A Current Action,simulation_data
presale_1_agents,Presale 1 Agents,simulation_data
presale_1_a_name,Presale 1 A Name,simulation_data
presale_1_a_type,Presale 1 A Type,simulation_data
presale_1_a_usd_funds,Presale 1 A Usd Funds,simulation_data
presale_1_a_tokens,Presale 1 A Tokens,simulation_data
presale_1_a_tokens_vested,Presale 1 A Tokens Vested,simulation_data
presale_1_a_tokens_vested_cum,Presale 1 A Tokens Vested Cum,simulation_data
presale_1_a_tokens_airdropped,Presale 1 A Tokens Airdropped,simulation_data
presale_1_a_tokens_airdropped_cum,Presale 1 A Tokens Airdropped Cum,simulation_data
presale_1_a_tokens_incentivised,Presale 1 A Tokens Incentivised,simulation_data
presale_1_a_tokens_incentivised_cum,Presale 1 A Tokens Incentivised Cum,simulation_data
presale_1_a_tokens_apr_locked,Presale 1 A Tokens Apr Locked,simulation_data
presale_1_a_tokens_apr_locked_cum,Presale 1 A Tokens Apr Locked Cum,simulation_data
presale_1_a_tokens_apr_locked_remove,Presale 1 A Tokens Apr Locked Remove,simulation_data
presale_1_a_tokens_apr_locked_rewards,Presale 1 A Tokens Apr Locked Rewards,simulation_data
presale_1_a_tokens_buyback_locked,Presale 1 A Tokens Buyback Locked,simulation_data
presale_1_a_tokens_buyback_locked_cum,Presale 1 A Tokens Buyback Locked Cum,simulation_data
presale_1_a_tokens_buyback_locked_remove,Presale 1 A Tokens Buyback Locked Remove,simulation_data
presale_1_a_tokens_buyback_locked_rewards,Presale 1 A Tokens Buyback Locked Rewards,simulation_data
presale_1_a_tokens_staking_vesting_locked,Presale 1 A Tokens Staking Vesting Locked,simulation_data
presale_1_a_tokens_staking_vesting_locked_cum,Presale 1 A Tokens Staking Vesting Locked Cum,simulation_data
presale_1_a_tokens_staking_vesting_locked_remove,Presale 1 A Tokens Staking Vesting Locked Remove,simulation_data
presale_1_a_tokens_staking_vesting_locked_rewards,Presale 1 A Tokens Staking Vesting Locked Rewards,simulation_data
presale_1_a_tokens_liquidity_mining,Presale 1 A Tokens Liquidity Mining,simulation_data
presale_1_a_tokens_liquidity_mining_cum,Presale 1 A Tokens Liquidity Mining Cum,simulation_data
presale_1_a_tokens_liquidity_mining_remove,Presale 1 A Tokens Liquidity Mining Remove,simulation_data
presale_1_a_tokens_liquidity_mining_rewards,Presale 1 A Tokens Liquidity Mining Rewards,simulation_data
presale_1_a_tokens_transferred,Presale 1 A Tokens Transferred,simulation_data
presale_1_a_tokens_transferred_cum,Presale 1 A Tokens Transferred Cum,simulation_data
presale_1_a_tokens_burned,Presale 1 A Tokens Burned,simulation_data
presale_1_a_tokens_burned_cum,Presale 1 A Tokens Burned Cum,simulation_data
presale_1_a_selling_tokens,Presale 1 A Selling Tokens,simulation_data
presale_1_a_utility_tokens,Presale 1 A Utility Tokens,simulation_data
presale_1_a_holding_tokens,Presale 1 A Holding Tokens,simulation_data
presale_1_a_selling_from_holding_tokens,Presale 1 A Selling From Holding Tokens,simulation_data
presale_1_a_utility_from_holding_tokens,Presale 1 A Utility From Holding Tokens,simulation_data
presale_1_a_holding_from_holding_tokens,Presale 1 A Holding From Holding Tokens,simulation_data
presale_1_a_actions,Presale 1 A Actions,simulation_data
presale_1_a_current_action,Presale 1 A Current Action,simulation_data
presale_2_agents,Presale 2 Agents,simulation_data
presale_2_a_name,Presale 2 A Name,simulation_data
presale_2_a_type,Presale 2 A Type,simulation_data
presale_2_a_usd_funds,Presale 2 A Usd Funds,simulation_data
presale_2_a_tokens,Presale 2 A Tokens,simulation_data
presale_2_a_tokens_vested,Presale 2 A Tokens Vested,simulation_data
presale_2_a_tokens_vested_cum,Presale 2 A Tokens Vested Cum,simulation_data
presale_2_a_tokens_airdropped,Presale 2 A Tokens Airdropped,simulation_data
presale_2_a_tokens_airdropped_cum,Presale 2 A Tokens Airdropped Cum,simulation_data
presale_2_a_tokens_incentivised,Presale 2 A Tokens Incentivised,simulation_data
presale_2_a_tokens_incentivised_cum,Presale 2 A Tokens Incentivised Cum,simulation_data
presale_2_a_tokens_apr_locked,Presale 2 A Tokens Apr Locked,simulation_data
presale_2_a_tokens_apr_locked_cum,Presale 2 A Tokens Apr Locked Cum,simulation_data
presale_2_a_tokens_apr_locked_remove,Presale 2 A Tokens Apr Locked Remove,simulation_data
presale_2_a_tokens_apr_locked_rewards,Presale 2 A Tokens Apr Locked Rewards,simulation_data
presale_2_a_tokens_buyback_locked,Presale 2 A Tokens Buyback Locked,simulation_data
presale_2_a_tokens_buyback_locked_cum,Presale 2 A Tokens Buyback Locked Cum,simulation_data
presale_2_a_tokens_buyback_locked_remove,Presale 2 A Tokens Buyback Locked Remove,simulation_data
presale_2_a_tokens_buyback_locked_rewards,Presale 2 A Tokens Buyback Locked Rewards,simulation_data
presale_2_a_tokens_staking_vesting_locked,Presale 2 A Tokens Staking Vesting Locked,simulation_data
presale_2_a_tokens_staking_vesting_locked_cum,Presale 2 A Tokens Staking Vesting Locked Cum,simulation_data
presale_2_a_tokens_staking_vesting_locked_remove,Presale 2 A Tokens Staking Vesting Locked Remove,simulation_data
presale_2_a_tokens_staking_vesting_locked_rewards,Presale 2 A Tokens Staking Vesting Locked Rewards,simulation_data
presale_2_a_tokens_liquidity_mining,Presale 2 A Tokens Liquidity Mining,simulation_data
presale_2_a_tokens_liquidity_mining_cum,Presale 2 A Tokens Liquidity Mining Cum,simulation_data
presale_2_a_tokens_liquidity_mining_remove,Presale 2 A Tokens Liquidity Mining Remove,simulation_data
presale_2_a_tokens_liquidity_mining_rewards,Presale 2 A Tokens Liquidity Mining Rewards,simulation_data
presale_2_a_tokens_transferred,Presale 2 A Tokens Transferred,simulation_data
presale_2_a_tokens_transferred_cum,Presale 2 A Tokens Transferred Cum,simulation_data
presale_2_a_tokens_burned,Presale 2 A Tokens Burned,simulation_data
presale_2_a_tokens_burned_cum,Presale 2 A Tokens Burned Cum,simulation_data
presale_2_a_selling_tokens,Presale 2 A Selling Tokens,simulation_data
presale_2_a_utility_tokens,Presale 2 A Utility Tokens,simulation_data
presale_2_a_holding_tokens,Presale 2 A Holding Tokens,simulation_data
presale_2_a_selling_from_holding_tokens,Presale 2 A Selling From Holding Tokens,simulation_data
presale_2_a_utility_from_holding_tokens,Presale 2 A Utility From Holding Tokens,simulation_data
presale_2_a_holding_from_holding_tokens,Presale 2 A Holding From Holding Tokens,simulation_data
presale_2_a_actions,Presale 2 A Actions,simulation_data
presale_2_a_current_action,Presale 2 A Current Action,simulation_data
public_sale_agents,Public Sale Agents,simulation_data
public_sale_a_name,Public Sale A Name,simulation_data
public_sale_a_type,Public Sale A Type,simulation_data
public_sale_a_usd_funds,Public Sale A Usd Funds,simulation_data
public_sale_a_tokens,Public Sale A Tokens,simulation_data
public_sale_a_tokens_vested,Public Sale A Tokens Vested,simulation_data
public_sale_a_tokens_vested_cum,Public Sale A Tokens Vested Cum,simulation_data
public_sale_a_tokens_airdropped,Public Sale A Tokens Airdropped,simulation_data
public_sale_a_tokens_airdropped_cum,Public Sale A Tokens Airdropped Cum,simulation_data
public_sale_a_tokens_incentivised,Public Sale A Tokens Incentivised,simulation_data
public_sale_a_tokens_incentivised_cum,Public Sale A Tokens Incentivised Cum,simulation_data
public_sale_a_tokens_apr_locked,Public Sale A Tokens Apr Locked,simulation_data
public_sale_a_tokens_apr_locked_cum,Public Sale A Tokens Apr Locked Cum,simulation_data
public_sale_a_tokens_apr_locked_remove,Public Sale A Tokens Apr Locked Remove,simulation_data
public_sale_a_tokens_apr_locked_rewards,Public Sale A Tokens Apr Locked Rewards,simulation_data
public_sale_a_tokens_buyback_locked,Public Sale A Tokens Buyback Locked,simulation_data
public_sale_a_tokens_buyback_locked_cum,Public Sale A Tokens Buyback Locked Cum,simulation_data
public_sale_a_tokens_buyback_locked_remove,Public Sale A Tokens Buyback Locked Remove,simulation_data
public_sale_a_tokens_buyback_locked_rewards,Public Sale A Tokens Buyback Locked Rewards,simulation_data
public_sale_a_tokens_staking_vesting_locked,Public Sale A Tokens Staking Vesting Locked,simulation_data
public_sale_a_tokens_staking_vesting_locked_cum,Public Sale A Tokens Staking Vesting Locked Cum,simulation_data
public_sale_a_tokens_staking_vesting_locked_remove,Public Sale A Tokens Staking Vesting Locked Remove,simulation_data
public_sale_a_tokens_staking_vesting_locked_rewards,Public Sale A Tokens Staking Vesting Locked Rewards,simulation_data
public_sale_a_tokens_liquidity_mining,Public Sale A Tokens Liquidity Mining,simulation_data
public_sale_a_tokens_liquidity_mining_cum,Public Sale A Tokens Liquidity Mining Cum,simulation_data
public_sale_a_tokens_liquidity_mining_remove,Public Sale A Tokens Liquidity Mining Remove,simulation_data
public_sale_a_tokens_liquidity_mining_rewards,Public Sale A Tokens Liquidity Mining Rewards,simulation_data
public_sale_a_tokens_transferred,Public Sale A Tokens Transferred,simulation_data
public_sale_a_tokens_transferred_cum,Public Sale A Tokens Transferred Cum,simulation_data
public_sale_a_tokens_burned,Public Sale A Tokens Burned,simulation_data
public_sale_a_tokens_burned_cum,Public Sale A Tokens Burned Cum,simulation_data
public_sale_a_selling_tokens,Public Sale A Selling Tokens,simulation_data
public_sale_a_utility_tokens,Public Sale A Utility Tokens,simulation_data
public_sale_a_holding_tokens,Public Sale A Holding Tokens,simulation_data
public_sale_a_selling_from_holding_tokens,Public Sale A Selling From Holding Tokens,simulation_data
public_sale_a_utility_from_holding_tokens,Public Sale A Utility From Holding Tokens,simulation_data
public_sale_a_holding_from_holding_tokens,Public Sale A Holding From Holding Tokens,simulation_data
public_sale_a_actions,Public Sale A Actions,simulation_data
public_sale_a_current_action,Public Sale A Current Action,simulation_data
team_agents,Team Agents,simulation_data
team_a_name,Team A Name,simulation_data
team_a_type,Team A Type,simulation_data
team_a_usd_funds,Team A Usd Funds,simulation_data
team_a_tokens,Team A Tokens,simulation_data
team_a_tokens_vested,Team A Tokens Vested,simulation_data
team_a_tokens_vested_cum,Team A Tokens Vested Cum,simulation_data
team_a_tokens_airdropped,Team A Tokens Airdropped,simulation_data
team_a_tokens_airdropped_cum,Team A Tokens Airdropped Cum,simulation_data
team_a_tokens_incentivised,Team A Tokens Incentivised,simulation_data
team_a_tokens_incentivised_cum,Team A Tokens Incentivised Cum,simulation_data
team_a_tokens_apr_locked,Team A Tokens Apr Locked,simulation_data
team_a_tokens_apr_locked_cum,Team A Tokens Apr Locked Cum,simulation_data
team_a_tokens_apr_locked_remove,Team A Tokens Apr Locked Remove,simulation_data
team_a_tokens_apr_locked_rewards,Team A Tokens Apr Locked Rewards,simulation_data
team_a_tokens_buyback_locked,Team A Tokens Buyback Locked,simulation_data
team_a_tokens_buyback_locked_cum,Team A Tokens Buyback Locked Cum,simulation_data
team_a_tokens_buyback_locked_remove,Team A Tokens Buyback Locked Remove,simulation_data
team_a_tokens_buyback_locked_rewards,Team A Tokens Buyback Locked Rewards,simulation_data
team_a_tokens_staking_vesting_locked,Team A Tokens Staking Vesting Locked,simulation_data
team_a_tokens_staking_vesting_locked_cum,Team A Tokens Staking Vesting Locked Cum,simulation_data
team_a_tokens_staking_vesting_locked_remove,Team A Tokens Staking Vesting Locked Remove,simulation_data
team_a_tokens_staking_vesting_locked_rewards,Team A Tokens Staking Vesting Locked Rewards,simulation_data
team_a_tokens_liquidity_mining,Team A Tokens Liquidity Mining,simulation_data
team_a_tokens_liquidity_mining_cum,Team A Tokens Liquidity Mining Cum,simulation_data
team_a_tokens_liquidity_mining_remove,Team A Tokens Liquidity Mining Remove,simulation_data
team_a_tokens_liquidity_mining_rewards,Team A Tokens Liquidity Mining Rewards,simulation_data
team_a_tokens_transferred,Team A Tokens Transferred,simulation_data
team_a_tokens_transferred_cum,Team A Tokens Transferred Cum,simulation_data
team_a_tokens_burned,Team A Tokens Burned,simulation_data
team_a_tokens_burned_cum,Team A Tokens Burned Cum,simulation_data
team_a_selling_tokens,Team A Selling Tokens,simulation_data
team_a_utility_tokens,Team A Utility Tokens,simulation_data
team_a_holding_tokens,Team A Holding Tokens,simulation_data
team_a_selling_from_holding_tokens,Team A Selling From Holding Tokens,simulation_data
