"play","step","Distance / 8","Coins / 9","Player Crashes / 10","Difficulty Factor / 11"
"1","0","0","0","0"
"1","1","5","0","0"
"1","2","10","1","1"
"1","3","15","2","1"
"1","4","20","3","2"
"1","5","25","4","2"
"1","6","30","5","3"
"1","7","35","6","3"
"1","8","40","7","4"
"1","9","45","8","4"
"1","10","50","9","5"
"1","11","55","11","5"
"1","12","60","13","6"
"1","13","65","15","6"
"1","14","70","17","7"
"1","15","75","19","7"
"1","16","80","21","8"
"2","0","0","0","0","0"
"2","1","5","0","0","0"
"2","2","10","1","0","1"
"2","3","15","2","0","1"
"111","0","0","0","0","0"
"111","1","5","0","0","0"
"111","2","10","1","0","1"
"111","3","15","2","0","1"
"111","4","20","3","0","2"
"111","5","25","4","0","2"
"111","6","30","5","0","3"
"111","7","35","6","0","3"
"111","8","40","7","0","4"
"111","9","45","8","0","4"
"111","10","50","9","0","5"
"111","11","55","11","0","5"
"111","12","60","13","0","6"
"111","13","65","15","1","6"
"112","0","0","0","0","0"
"112","1","5","0","0","0"
"112","2","10","1","0","1"
"112","3","15","2","0","1"
"112","4","20","3","0","2"
"112","5","25","4","0","2"
"112","6","30","5","0","3"
"112","7","35","6","0","3"
"112","8","40","7","0","4"
"112","9","45","8","0","4"
"112","10","50","9","0","5"
"112","11","55","11","0","5"
"112","12","60","13","0","6"
"112","13","65","15","0","6"
"112","14","70","17","0","7"
"112","15","75","19","0","7"
"112","16","80","21","0","8"
"112","17","85","23","1","8"
"113","0","0","0","0","0"
"113","1","5","0","0","0"
"113","2","10","1","0","1"
"113","3","15","2","0","1"
"113","4","20","3","0","2"
"113","5","25","4","0","2"
"113","6","30","5","0","3"
"113","7","35","6","0","3"
"113","8","40","7","0","4"
"113","9","45","8","0","4"
"113","10","50","9","0","5"
"113","11","55","11","0","5"
"113","12","60","13","0","6"
"113","13","65","15","0","6"
"113","14","70","17","0","7"
"113","15","75","19","0","7"
"113","16","80","21","0","8"
"113","17","85","23","1","8"
"114","0","0","0","0","0"
"114","1","5","0","0","0"
"114","2","10","1","0","1"
"114","3","15","2","0","1"
"114","4","20","3","0","2"
"114","5","25","4","1","2"
"115","0","0","0","0","0"
"115","1","5","0","0","0"
"115","2","10","1","0","1"
"115","3","15","2","0","1"
"115","4","20","3","0","2"
"115","5","25","4","0","2"
"115","6","30","5","0","3"
"115","7","35","6","1","3"
"116","0","0","0","0","0"
"116","1","5","0","0","0"
"116","2","10","1","0","1"
"116","3","15","2","0","1"
"116","4","20","3","0","2"
"116","5","25","4","0","2"
"116","6","30","5","0","3"
"116","7","35","6","0","3"
"116","8","40","7","0","4"
"116","9","45","8","0","4"
"116","10","50","9","0","5"
"116","11","55","11","0","5"
"116","12","60","13","0","6"
"116","13","65","15","1","6"
"117","0","0","0","0","0"
"117","1","5","0","0","0"
"117","2","10","1","0","1"
"117","3","15","2","0","1"
"117","4","20","3","0","2"
"117","5","25","4","0","2"
"117","6","30","5","0","3"
"117","7","35","6","0","3"
"117","8","40","7","0","4"
"117","9","45","8","0","4"
"117","10","50","9","0","5"
"117","11","55","11","1","5"
"118","0","0","0","0","0"
"118","1","5","0","0","0"
"118","2","10","1","0","1"
"118","3","15","2","0","1"
"118","4","20","3","0","2"
"118","5","25","4","0","2"
"118","6","30","5","0","3"
"118","7","35","6","0","3"
"118","8","40","7","1","4"
"119","0","0","0","0","0"
"119","1","5","0","0","0"
"119","2","10","1","0","1"
"119","3","15","2","0","1"
"119","4","20","3","0","2"
"119","5","25","4","0","2"
"119","6","30","5","0","3"
"119","7","35","6","0","3"
"119","8","40","7","0","4"
"119","9","45","8","0","4"
"119","10","50","9","0","5"
"119","11","55","11","0","5"
"119","12","60","13","1","6"
"120","0","0","0","0","0"
"120","1","5","0","0","0"
"120","2","10","1","0","1"
"120","3","15","2","0","1"
"120","4","20","3","0","2"
"120","5","25","4","1","2"
"121","0","0","0","0","0"
"121","1","5","0","0","0"
"121","2","10","1","0","1"
"121","3","15","2","0","1"
"121","4","20","3","0","2"
"121","5","25","4","0","2"
"121","6","30","5","0","3"
"121","7","35","6","0","3"
"121","8","40","7","0","4"
"121","9","45","8","0","4"
"121","10","50","9","0","5"
"121","11","55","11","0","5"
"121","12","60","13","0","6"
"121","13","65","15","0","6"
"121","14","70","17","0","7"
"121","15","75","19","0","7"
"121","16","80","21","0","8"
"121","17","85","23","0","8"
"121","18","90","25","0","9"
"121","19","95","27","0","9"
"121","20","100","29","0","10"
"121","21","105","31","0","10"
"121","22","110","34","1","11"
"122","0","0","0","0","0"
"122","1","5","0","0","0"
"122","2","10","1","0","1"
"122","3","15","2","0","1"
"122","4","20","3","0","2"
"122","5","25","4","0","2"
"122","6","30","5","0","3"
"122","7","35","6","0","3"
"122","8","40","7","1","4"
"123","0","0","0","0","0"
"123","1","5","0","0","0"
"123","2","10","1","0","1"
"123","3","15","2","0","1"
"123","4","20","3","0","2"
"123","5","25","4","0","2"
"123","6","30","5","0","3"
"123","7","35","6","0","3"
"123","8","40","7","0","4"
"123","9","45","8","0","4"
"123","10","50","9","0","5"
"123","11","55","11","0","5"
"123","12","60","13","0","6"
"123","13","65","15","0","6"
"123","14","70","17","0","7"
"123","15","75","19","0","7"
"123","16","80","21","0","8"
"123","17","85","23","0","8"
"123","18","90","25","0","9"
"123","19","95","27","0","9"
"123","20","100","29","1","10"
"124","0","0","0","0","0"
"124","1","5","0","0","0"
"124","2","10","1","0","1"
"124","3","15","2","0","1"
"124","4","20","3","0","2"
"124","5","25","4","1","2"
"125","0","0","0","0","0"
"125","1","5","0","0","0"
"125","2","10","1","0","1"
"125","3","15","2","0","1"
"125","4","20","3","0","2"
"125","5","25","4","0","2"
"125","6","30","5","0","3"
"125","7","35","6","0","3"
"125","8","40","7","0","4"
"125","9","45","8","0","4"
"125","10","50","9","0","5"
"125","11","55","11","0","5"
"125","12","60","13","0","6"
"125","13","65","15","0","6"
"125","14","70","17","0","7"
"125","15","75","19","0","7"
"125","16","80","21","0","8"
"125","17","85","23","1","8"
"126","0","0","0","0","0"
"126","1","5","0","0","0"
"126","2","10","1","0","1"
"126","3","15","2","0","1"
"126","4","20","3","0","2"
"126","5","25","4","0","2"
"126","6","30","5","0","3"
"126","7","35","6","0","3"
"126","8","40","7","0","4"
"126","9","45","8","0","4"
"126","10","50","9","0","5"
"126","11","55","11","0","5"
"126","12","60","13","0","6"
"126","13","65","15","0","6"
"126","14","70","17","0","7"
"126","15","75","19","0","7"
"126","16","80","21","0","8"
"126","17","85","23","1","8"
"127","0","0","0","0","0"
"127","1","5","0","0","0"
"127","2","10","1","0","1"
"127","3","15","2","0","1"
"127","4","20","3","0","2"
"127","5","25","4","0","2"
"127","6","30","5","0","3"
"127","7","35","6","0","3"
"127","8","40","7","0","4"
"127","9","45","8","0","4"
"127","10","50","9","0","5"
"127","11","55","11","0","5"
"127","12","60","13","0","6"
"127","13","65","15","0","6"
"127","14","70","17","0","7"
"127","15","75","19","1","7"
"128","0","0","0","0","0"
"128","1","5","0","0","0"
"128","2","10","1","0","1"
"128","3","15","2","0","1"
"128","4","20","3","0","2"
"128","5","25","4","0","2"
"128","6","30","5","0","3"
"128","7","35","6","0","3"
"128","8","40","7","0","4"
"128","9","45","8","0","4"
"128","10","50","9","0","5"
"128","11","55","11","1","5"
"129","0","0","0","0","0"
"129","1","5","0","0","0"
"129","2","10","1","0","1"
"129","3","15","2","0","1"
"129","4","20","3","0","2"
"129","5","25","4","0","2"
"129","6","30","5","0","3"
"129","7","35","6","0","3"
"129","8","40","7","1","4"
"130","0","0","0","0","0"
"130","1","5","0","0","0"
"130","2","10","1","0","1"
"130","3","15","2","0","1"
"130","4","20","3","0","2"
"130","5","25","4","1","2"
"131","0","0","0","0","0"
"131","1","5","0","0","0"
"131","2","10","1","0","1"
"131","3","15","2","0","1"
"131","4","20","3","0","2"
"131","5","25","4","0","2"
"131","6","30","5","1","3"
"132","0","0","0","0","0"
"132","1","5","0","0","0"
"132","2","10","1","0","1"
"132","3","15","2","0","1"
"132","4","20","3","0","2"
"132","5","25","4","1","2"
"133","0","0","0","0","0"
"133","1","5","0","0","0"
"133","2","10","1","0","1"
"133","3","15","2","0","1"
"133","4","20","3","0","2"
"133","5","25","4","0","2"
"133","6","30","5","0","3"
"133","7","35","6","0","3"
"133","8","40","7","0","4"
"133","9","45","8","0","4"
"133","10","50","9","0","5"
"133","11","55","11","0","5"
"133","12","60","13","0","6"
"133","13","65","15","1","6"
"134","0","0","0","0","0"
"134","1","5","0","0","0"
"134","2","10","1","0","1"
"134","3","15","2","0","1"
"134","4","20","3","0","2"
"134","5","25","4","0","2"
"134","6","30","5","0","3"
"134","7","35","6","0","3"
"134","8","40","7","0","4"
"134","9","45","8","0","4"
"134","10","50","9","0","5"
"134","11","55","11","0","5"
"134","12","60","13","0","6"
"134","13","65","15","0","6"
"134","14","70","17","0","7"
"134","15","75","19","0","7"
"134","16","80","21","1","8"
"135","0","0","0","0","0"
"135","1","5","0","0","0"
"135","2","10","1","0","1"
"135","3","15","2","0","1"
"135","4","20","3","0","2"
"135","5","25","4","0","2"
"135","6","30","5","0","3"
"135","7","35","6","0","3"
"135","8","40","7","0","4"
"135","9","45","8","0","4"
"135","10","50","9","0","5"
"135","11","55","11","1","5"
"136","0","0","0","0","0"
"136","1","5","0","0","0"
"136","2","10","1","0","1"
"136","3","15","2","0","1"
"136","4","20","3","0","2"
"136","5","25","4","0","2"
"136","6","30","5","0","3"
"136","7","35","6","0","3"
"136","8","40","7","0","4"
"136","9","45","8","1","4"
"137","0","0","0","0","0"
"137","1","5","0","0","0"
"137","2","10","1","0","1"
"137","3","15","2","0","1"
"137","4","20","3","0","2"
"137","5","25","4","0","2"
"137","6","30","5","0","3"
"137","7","35","6","0","3"
"137","8","40","7","0","4"
"137","9","45","8","1","4"
"138","0","0","0","0","0"
"138","1","5","0","0","0"
"138","2","10","1","0","1"
"138","3","15","2","0","1"
"138","4","20","3","0","2"
"138","5","25","4","0","2"
"138","6","30","5","1","3"
"139","0","0","0","0","0"
"139","1","5","0","0","0"
"139","2","10","1","0","1"
"139","3","15","2","0","1"
"139","4","20","3","0","2"
"139","5","25","4","0","2"
"139","6","30","5","0","3"
"139","7","35","6","1","3"
"140","0","0","0","0","0"
"140","1","5","0","0","0"
"140","2","10","1","0","1"
"140","3","15","2","0","1"
"140","4","20","3","0","2"
"140","5","25","4","0","2"
"140","6","30","5","0","3"
"140","7","35","6","0","3"
"140","8","40","7","0","4"
"140","9","45","8","0","4"
"140","10","50","9","0","5"
"140","11","55","11","0","5"
"140","12","60","13","0","6"
"140","13","65","15","0","6"
"140","14","70","17","0","7"
"140","15","75","19","0","7"
"140","16","80","21","0","8"
"140","17","85","23","0","8"
"140","18","90","25","0","9"
"140","19","95","27","1","9"
"141","0","0","0","0","0"
"141","1","5","0","0","0"
"141","2","10","1","0","1"
"141","3","15","2","0","1"
"141","4","20","3","0","2"
"141","5","25","4","0","2"
"141","6","30","5","0","3"
"141","7","35","6","0","3"
"141","8","40","7","0","4"
"141","9","45","8","0","4"
"141","10","50","9","0","5"
"141","11","55","11","1","5"
"142","0","0","0","0","0"
"142","1","5","0","0","0"
"142","2","10","1","0","1"
"142","3","15","2","0","1"
"142","4","20","3","0","2"
"142","5","25","4","0","2"
"142","6","30","5","1","3"
"143","0","0","0","0","0"
"143","1","5","0","0","0"
"143","2","10","1","0","1"
"143","3","15","2","0","1"
"143","4","20","3","0","2"
"143","5","25","4","0","2"
"143","6","30","5","0","3"
"143","7","35","6","0","3"
"143","8","40","7","0","4"
"143","9","45","8","0","4"
"143","10","50","9","0","5"
"143","11","55","11","0","5"
"143","12","60","13","0","6"
"143","13","65","15","0","6"
"143","14","70","17","0","7"
"143","15","75","19","0","7"
"143","16","80","21","0","8"
"143","17","85","23","0","8"
"143","18","90","25","0","9"
"143","19","95","27","0","9"
"143","20","100","29","0","10"
"143","21","105","31","0","10"
"143","22","110","34","0","11"
"143","23","115","37","0","11"
"143","24","120","40","1","12"
"144","0","0","0","0","0"
"144","1","5","0","0","0"
"144","2","10","1","0","1"
"144","3","15","2","0","1"
"144","4","20","3","0","2"
"144","5","25","4","0","2"
"144","6","30","5","0","3"
"144","7","35","6","0","3"
"144","8","40","7","0","4"
"144","9","45","8","0","4"
"144","10","50","9","1","5"
"145","0","0","0","0","0"
"145","1","5","0","0","0"
"145","2","10","1","0","1"
"145","3","15","2","0","1"
"145","4","20","3","0","2"
"145","5","25","4","0","2"
"145","6","30","5","0","3"
"145","7","35","6","0","3"
"145","8","40","7","0","4"
"145","9","45","8","0","4"
"145","10","50","9","1","5"
"146","0","0","0","0","0"
"146","1","5","0","0","0"
"146","2","10","1","0","1"
"146","3","15","2","0","1"
"146","4","20","3","0","2"
"146","5","25","4","0","2"
"146","6","30","5","0","3"
"146","7","35","6","0","3"
"146","8","40","7","0","4"
"146","9","45","8","0","4"
"146","10","50","9","0","5"
"146","11","55","11","1","5"
"147","0","0","0","0","0"
"147","1","5","0","0","0"
"147","2","10","1","0","1"
"147","3","15","2","0","1"
"147","4","20","3","0","2"
"147","5","25","4","0","2"
"147","6","30","5","1","3"
"148","0","0","0","0","0"
"148","1","5","0","0","0"
"148","2","10","1","0","1"
"148","3","15","2","0","1"
"148","4","20","3","0","2"
"148","5","25","4","0","2"
"148","6","30","5","0","3"
"148","7","35","6","0","3"
"148","8","40","7","0","4"
"148","9","45","8","0","4"
"148","10","50","9","1","5"
"149","0","0","0","0","0"
"149","1","5","0","0","0"
"149","2","10","1","0","1"
"149","3","15","2","0","1"
"149","4","20","3","0","2"
"149","5","25","4","0","2"
"149","6","30","5","0","3"
"149","7","35","6","0","3"
"149","8","40","7","0","4"
"149","9","45","8","0","4"
"149","10","50","9","0","5"
"149","11","55","11","0","5"
"149","12","60","13","1","6"
"150","0","0","0","0","0"
"150","1","5","0","0","0"
"150","2","10","1","0","1"
"150","3","15","2","0","1"
"150","4","20","3","0","2"
"150","5","25","4","0","2"
"150","6","30","5","0","3"
"150","7","35","6","0","3"
"150","8","40","7","0","4"
"150","9","45","8","0","4"
"150","10","50","9","0","5"
"150","11","55","11","0","5"
"150","12","60","13","0","6"
"150","13","65","15","0","6"
"150","14","70","17","0","7"
"150","15","75","19","0","7"
"150","16","80","21","1","8"
"151","0","0","0","0","0"
"151","1","5","0","0","0"
"151","2","10","1","0","1"
"151","3","15","2","0","1"
"151","4","20","3","0","2"
"151","5","25","4","0","2"
"151","6","30","5","0","3"
"151","7","35","6","0","3"
"151","8","40","7","0","4"
"151","9","45","8","1","4"
"152","0","0","0","0","0"
"152","1","5","0","0","0"
"152","2","10","1","0","1"
"152","3","15","2","0","1"
"152","4","20","3","0","2"
"152","5","25","4","0","2"
"152","6","30","5","0","3"
"152","7","35","6","0","3"
"152","8","40","7","0","4"
"152","9","45","8","0","4"
"152","10","50","9","0","5"
"152","11","55","11","0","5"
"152","12","60","13","0","6"
"152","13","65","15","0","6"
"152","14","70","17","1","7"
"153","0","0","0","0","0"
"153","1","5","0","0","0"
"153","2","10","1","0","1"
"153","3","15","2","0","1"
"153","4","20","3","0","2"
"153","5","25","4","0","2"
"153","6","30","5","0","3"
"153","7","35","6","0","3"
"153","8","40","7","0","4"
"153","9","45","8","0","4"
"153","10","50","9","0","5"
"153","11","55","11","0","5"
"153","12","60","13","0","6"
"153","13","65","15","0","6"
"153","14","70","17","0","7"
"153","15","75","19","0","7"
"153","16","80","21","0","8"
"153","17","85","23","0","8"
"153","18","90","25","0","9"
"153","19","95","27","0","9"
"153","20","100","29","1","10"
"154","0","0","0","0","0"
"154","1","5","0","0","0"
"154","2","10","1","0","1"
"154","3","15","2","0","1"
"154","4","20","3","0","2"
"154","5","25","4","0","2"
"154","6","30","5","0","3"
"154","7","35","6","0","3"
"154","8","40","7","0","4"
"154","9","45","8","0","4"
"154","10","50","9","1","5"
"155","0","0","0","0","0"
"155","1","5","0","0","0"
"155","2","10","1","0","1"
"155","3","15","2","0","1"
"155","4","20","3","0","2"
"155","5","25","4","0","2"
"155","6","30","5","0","3"
"155","7","35","6","0","3"
"155","8","40","7","0","4"
"155","9","45","8","0","4"
"155","10","50","9","1","5"
"156","0","0","0","0","0"
"156","1","5","0","0","0"
"156","2","10","1","0","1"
"156","3","15","2","0","1"
"156","4","20","3","0","2"
"156","5","25","4","0","2"
"156","6","30","5","0","3"
"156","7","35","6","1","3"
"157","0","0","0","0","0"
"157","1","5","0","0","0"
"157","2","10","1","0","1"
"157","3","15","2","0","1"
"157","4","20","3","0","2"
"157","5","25","4","0","2"
"157","6","30","5","0","3"
"157","7","35","6","0","3"
"157","8","40","7","0","4"
"157","9","45","8","0","4"
"157","10","50","9","0","5"
"157","11","55","11","0","5"
"157","12","60","13","1","6"
"158","0","0","0","0","0"
"158","1","5","0","0","0"
"158","2","10","1","0","1"
"158","3","15","2","0","1"
"158","4","20","3","0","2"
"158","5","25","4","0","2"
"158","6","30","5","0","3"
"158","7","35","6","1","3"
"159","0","0","0","0","0"
"159","1","5","0","0","0"
"159","2","10","1","0","1"
"159","3","15","2","0","1"
"159","4","20","3","0","2"
"159","5","25","4","0","2"
"159","6","30","5","0","3"
"159","7","35","6","0","3"
"159","8","40","7","0","4"
"159","9","45","8","0","4"
"159","10","50","9","0","5"
"159","11","55","11","0","5"
"159","12","60","13","0","6"
"159","13","65","15","0","6"
"159","14","70","17","0","7"
"159","15","75","19","0","7"
"159","16","80","21","0","8"
"159","17","85","23","0","8"
"159","18","90","25","0","9"
"159","19","95","27","1","9"
"160","0","0","0","0","0"
"160","1","5","0","0","0"
"160","2","10","1","0","1"
"160","3","15","2","0","1"
"160","4","20","3","0","2"
"160","5","25","4","0","2"
"160","6","30","5","0","3"
"160","7","35","6","0","3"
"160","8","40","7","0","4"
"160","9","45","8","0","4"
"160","10","50","9","0","5"
"160","11","55","11","0","5"
"160","12","60","13","0","6"
"160","13","65","15","0","6"
"160","14","70","17","0","7"
"160","15","75","19","0","7"
"160","16","80","21","0","8"
"160","17","85","23","0","8"
"160","18","90","25","0","9"
"160","19","95","27","0","9"
"160","20","100","29","0","10"
"160","21","105","31","0","10"
"160","22","110","34","0","11"
"160","23","115","37","0","11"
"160","24","120","40","1","12"
"162","0","0","0","0","0"
"162","1","5","0","0","0"
"162","2","10","1","0","1"
"162","3","15","2","0","1"
"162","4","20","3","0","2"
"162","5","25","4","0","2"
"162","6","30","5","0","3"
"162","7","35","6","0","3"
"162","8","40","7","0","4"
"162","9","45","8","0","4"
"162","10","50","9","1","5"
"163","0","0","0","0","0"
"163","1","5","0","0","0"
"163","2","10","1","0","1"
"163","3","15","2","0","1"
"163","4","20","3","0","2"
"163","5","25","4","1","2"
"164","0","0","0","0","0"
"164","1","5","0","0","0"
"164","2","10","1","0","1"
"164","3","15","2","0","1"
"164","4","20","3","0","2"
"164","5","25","4","0","2"
"164","6","30","5","0","3"
"164","7","35","6","0","3"
"164","8","40","7","0","4"
"164","9","45","8","0","4"
"164","10","50","9","0","5"
"164","11","55","11","0","5"
"164","12","60","13","0","6"
"164","13","65","15","0","6"
"164","14","70","17","0","7"
"164","15","75","19","0","7"
"164","16","80","21","0","8"
"164","17","85","23","1","8"
"165","0","0","0","0","0"
"165","1","5","0","0","0"
"165","2","10","1","0","1"
"165","3","15","2","0","1"
"165","4","20","3","0","2"
"165","5","25","4","0","2"
"165","6","30","5","0","3"
"165","7","35","6","0","3"
"165","8","40","7","0","4"
"165","9","45","8","0","4"
"165","10","50","9","0","5"
"165","11","55","11","0","5"
"165","12","60","13","0","6"
"165","13","65","15","0","6"
"165","14","70","17","0","7"
"165","15","75","19","0","7"
"165","16","80","21","0","8"
"165","17","85","23","0","8"
"165","18","90","25","0","9"
"165","19","95","27","0","9"
"165","20","100","29","0","10"
"165","21","105","31","0","10"
"165","22","110","34","0","11"
"165","23","115","37","1","11"
"167","0","0","0","0","0"
"167","1","5","0","0","0"
"167","2","10","1","0","1"
"167","3","15","2","0","1"
"167","4","20","3","0","2"
"167","5","25","4","0","2"
"167","6","30","5","0","3"
"167","7","35","6","0","3"
"167","8","40","7","0","4"
"167","9","45","8","0","4"
"167","10","50","9","0","5"
"167","11","55","11","0","5"
"167","12","60","13","0","6"
"167","13","65","15","0","6"
"167","14","70","17","0","7"
"167","15","75","19","0","7"
"167","16","80","21","0","8"
"167","17","85","23","0","8"
"167","18","90","25","0","9"
"167","19","95","27","0","9"
"167","20","100","29","0","10"
"167","21","105","31","0","10"
"167","22","110","34","1","11"
"168","0","0","0","0","0"
"168","1","5","0","0","0"
"168","2","10","1","0","1"
"168","3","15","2","0","1"
"168","4","20","3","0","2"
"168","5","25","4","0","2"
"168","6","30","5","1","3"
"169","0","0","0","0","0"
"169","1","5","0","0","0"
"169","2","10","1","0","1"
"169","3","15","2","0","1"
"169","4","20","3","0","2"
"169","5","25","4","1","2"
"170","0","0","0","0","0"
"170","1","5","0","0","0"
"170","2","10","1","0","1"
"170","3","15","2","0","1"
"170","4","20","3","0","2"
"170","5","25","4","0","2"
"170","6","30","5","0","3"
"170","7","35","6","0","3"
"170","8","40","7","1","4"